Order,Player name,Recipient,event_id,min,sec,outcome,period_id,team_id,Angle,Degrees,Y travel,X travel,Distance,Goalmouth Y,Goalmouth Z,X-end,x,Y-end,y
200,"Eagles, Chris","Steinsson, Gretar",84,9,23,Complete,1st,30,6,343.7746771,-16.5,33.7,37.1,,,90.7,57,5,21.5
202,"Steinsson, Gretar",Incomplete pass,85,9,26,Incomplete,1st,30,1.7,97.40282517,39.5,-3.8,27.2,,,90.5,94.3,44.7,5.2
204,"Petrov, Martin",Incomplete pass,88,10,0,Incomplete,1st,30,1.8,103.1324031,51.4,-6.5,35.6,,,93,99.5,51.9,0.5
204,"Knight, Zat",Miss,89,10,3,Complete,1st,30,0,0,0,0,0,41.1,9.7,,87.3,,41.4
206,"Hart, Joe",Incomplete pass,120,10,15,Incomplete,1st,43,0.2,11.4591559,20.5,53.2,57.6,,,57.8,4.6,80.2,59.7
208,"Steinsson, Gretar","Reo-Coker, Nigel",92,10,20,Complete,1st,30,1.3,74.48451337,19.9,3.2,13.9,,,43.4,40.2,36.3,16.4
210,"Reo-Coker, Nigel",N,93,10,21,Complete,1st,30,1.3,74.48451337,13.5,2.1,9.4,,,45.5,43.4,49.8,36.3
212,"Muamba, Fabrice","Petrov, Martin",95,10,24,Complete,1st,30,1.5,85.94366927,19.3,1.3,13.2,,,47.4,46.1,77.1,57.8
214,"Petrov, Martin","Robinson, Paul",96,10,27,Complete,1st,30,0.6,34.37746771,18.2,18.9,23.4,,,73.5,54.6,95.9,77.7
216,"Robinson, Paul","Petrov, Martin",97,10,34,Complete,1st,30,0,0,1,14.6,15.3,,,91.6,77,96.9,95.9
218,"Petrov, Martin",Incomplete pass,98,10,37,Key pass,1st,30,4.6,263.5605858,-42.1,-2.2,28.7,,,92.2,94.4,54.8,96.9
220,"Petrov, Martin",Incomplete pass,101,11,12,Incomplete,1st,30,4.5,257.8310078,-48.1,-7.8,33.7,,,91.9,99.7,51.6,99.7
222,"Petrov, Martin",Incomplete pass,103,11,27,Incomplete,1st,30,4.6,263.5605858,-43,-4.2,29.6,,,95.3,99.5,56.4,99.4
224,"Dzeko, Edin",Incomplete pass,128,11,32,Incomplete,1st,43,4.8,275.0197417,-36.1,2.6,24.7,,,29.6,27,59.7,95.8
226,"Cahill, Gary","Davies, Kevin",104,11,34,Complete,1st,30,5.8,332.3155212,-10.9,14.5,16.9,,,74.2,59.7,31.3,42.2
